Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     79.74     0.00        6     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*&, std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*&, void>(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*&, std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*&)
  0.00     79.74     0.00        6     0.00     0.00  std::pair<unsigned long long, species*>::pair<unsigned long long&, species*&, void>(unsigned long long&, species*&)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> > std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_insert_<std::pair<unsigned long long, species*> >(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<unsigned long long, species*>&&)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_get_node()
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_put_node(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree_node<std::pair<unsigned long long const, species*> >* std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_create_node<std::pair<unsigned long long, species*> >(std::pair<unsigned long long, species*>&&)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> > std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_insert_equal<std::pair<unsigned long long, species*> >(std::pair<unsigned long long, species*>&&)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_get_insert_equal_pos(unsigned long long const&)
  0.00     79.74     0.00        6     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> > std::multimap<unsigned long long, species*, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::insert<std::pair<unsigned long long, species*>, void>(std::pair<unsigned long long, species*>&&)
  0.00     79.74     0.00        6     0.00     0.00  std::_Miter_base<std::move_iterator<unsigned long long*> >::iterator_type std::__miter_base<std::move_iterator<unsigned long long*> >(std::move_iterator<unsigned long long*>)
  0.00     79.74     0.00        6     0.00     0.00  std::move_iterator<unsigned long long*> std::__make_move_if_noexcept_iterator<unsigned long long*, std::move_iterator<unsigned long long*> >(unsigned long long*)
  0.00     79.74     0.00        6     0.00     0.00  species*&& std::forward<species*>(std::remove_reference<species*>::type&)
  0.00     79.74     0.00        6     0.00     0.00  unsigned long long&& std::forward<unsigned long long>(std::remove_reference<unsigned long long>::type&)
  0.00     79.74     0.00        6     0.00     0.00  std::pair<std::__decay_and_strip<unsigned long long&>::__type, std::__decay_and_strip<species*&>::__type> std::make_pair<unsigned long long&, species*&>(unsigned long long&, species*&)
  0.00     79.74     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     79.74     0.00        4     0.00     0.00  void __gnu_cxx::new_allocator<unsigned long long>::construct<unsigned long long, unsigned long long const&>(unsigned long long*, unsigned long long const&)
  0.00     79.74     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     79.74     0.00        4     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<unsigned long long> >::__construct_helper<unsigned long long<unsigned long long const&> >::value, void>::type std::allocator_traits<std::allocator<unsigned long long> >::_S_construct<unsigned long long, unsigned long long const&>(std::allocator<unsigned long long>&, unsigned long long*, unsigned long long const&)
  0.00     79.74     0.00        4     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<unsigned long long const&>)({parm#3}))) std::allocator_traits<std::allocator<unsigned long long> >::construct<unsigned long long, unsigned long long const&>(std::allocator<unsigned long long>&, unsigned long long*, unsigned long long const&)
  0.00     79.74     0.00        4     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::push_back(unsigned long long const&)
  0.00     79.74     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::allocate(unsigned long long, void const*)
  0.00     79.74     0.00        3     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_check_len(unsigned long long, char const*) const
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<unsigned long long>(unsigned long long const*, unsigned long long const*, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long long*>(unsigned long long*, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_allocate(unsigned long long)
  0.00     79.74     0.00        3     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_deallocate(unsigned long long*, unsigned long long)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned long long*>, unsigned long long*>(std::move_iterator<unsigned long long*>, std::move_iterator<unsigned long long*>, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  void std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_emplace_back_aux<unsigned long long const&>(unsigned long long const&)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::__copy_move_a<true, unsigned long long*, unsigned long long*>(unsigned long long*, unsigned long long*, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::__copy_move_a2<true, unsigned long long*, unsigned long long*>(unsigned long long*, unsigned long long*, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::uninitialized_copy<std::move_iterator<unsigned long long*>, unsigned long long*>(std::move_iterator<unsigned long long*>, std::move_iterator<unsigned long long*>, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::__uninitialized_copy_a<std::move_iterator<unsigned long long*>, unsigned long long*, unsigned long long>(std::move_iterator<unsigned long long*>, std::move_iterator<unsigned long long*>, unsigned long long*, std::allocator<unsigned long long>&)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::__uninitialized_move_if_noexcept_a<unsigned long long*, unsigned long long*, std::allocator<unsigned long long> >(unsigned long long*, unsigned long long*, unsigned long long*, std::allocator<unsigned long long>&)
  0.00     79.74     0.00        3     0.00     0.00  unsigned long long* std::copy<std::move_iterator<unsigned long long*>, unsigned long long*>(std::move_iterator<unsigned long long*>, std::move_iterator<unsigned long long*>, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  void std::_Destroy<unsigned long long*>(unsigned long long*, unsigned long long*)
  0.00     79.74     0.00        3     0.00     0.00  void std::_Destroy<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, std::allocator<unsigned long long>&)
  0.00     79.74     0.00        2     0.00     0.00  multiNom::multiNom()
  0.00     79.74     0.00        2     0.00     0.00  multiNom::~multiNom()
  0.00     79.74     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long long)
